Data_Centre_Name,Latitude,Longitude,Climate_Zone,Cooling_System_Type,Ambient_Temperature_C,Relative_Humidity_Pct,IT_Load_MW,Server_Utilisation_Pct,WUE_Litres_Per_kWh,Data_Source,Citation,Cooling_Type_Encoded,Climate_Zone_Encoded
Microsoft Virginia US,38.9,-77.4,continental,evaporative,15.0,60.0,200,75,0.31,company_report,Microsoft Sustainability Report 2023,2,4
Microsoft Washington US,47.6,-122.3,oceanic,evaporative,11.0,75.0,150,75,0.22,company_report,Microsoft Sustainability Report 2023,2,5
Microsoft Texas US,29.8,-95.4,subtropical,evaporative,28.0,65.0,180,75,0.48,company_report,Microsoft Sustainability Report 2023,2,2
Microsoft Netherlands,52.4,4.9,oceanic,air_side,11.0,78.0,120,75,0.15,company_report,Microsoft Sustainability Report 2023,1,5
Microsoft Ireland,53.3,-6.3,oceanic,air_side,10.0,80.0,100,75,0.1,company_report,Microsoft Sustainability Report 2023,1,5
Microsoft Singapore,1.35,103.8,tropical,chilled_water,28.0,82.0,80,75,0.72,company_report,Microsoft Sustainability Report 2023,3,1
Microsoft Sweden,59.3,18.1,subarctic,air_side,5.0,73.0,110,75,0.05,company_report,Microsoft Sustainability Report 2023,1,6
Microsoft Australia,-33.9,151.2,temperate,evaporative,14.0,65.0,70,75,0.44,company_report,Microsoft Sustainability Report 2023,2,3
Microsoft Canada Quebec,45.5,-73.6,continental,air_side,10.0,70.0,90,75,0.08,company_report,Microsoft Sustainability Report 2023,1,4
Google Oregon US,45.5,-122.7,oceanic,air_side,11.0,75.0,300,75,0.08,company_report,Google Environmental Report 2024,1,5
Google Iowa US,41.9,-91.6,continental,evaporative,10.0,60.0,250,75,0.95,company_report,Google Environmental Report 2024,2,4
Google Belgium,50.8,4.4,oceanic,air_side,11.0,78.0,150,75,0.18,company_report,Google Environmental Report 2024,1,5
Google Finland,60.2,25.0,subarctic,seawater,3.0,72.0,130,75,0.1,company_report,Google Environmental Report 2024,4,6
Google Singapore,1.35,103.8,tropical,chilled_water,28.0,82.0,100,75,0.81,company_report,Google Environmental Report 2024,3,1
Google Taiwan,25.0,121.5,subtropical,chilled_water,22.0,76.0,120,75,0.62,company_report,Google Environmental Report 2024,3,2
AWS Virginia US,38.9,-77.4,continental,evaporative,15.0,60.0,500,80,0.24,company_report,AWS Sustainability Report 2023,2,4
AWS Oregon US,45.5,-122.7,oceanic,air_side,11.0,75.0,400,80,0.17,company_report,AWS Sustainability Report 2023,1,5
AWS Frankfurt,50.1,8.7,temperate,evaporative,11.0,72.0,200,80,0.21,company_report,AWS Sustainability Report 2023,2,3
AWS Stockholm,59.3,18.1,subarctic,air_side,5.0,73.0,150,80,0.09,company_report,AWS Sustainability Report 2023,1,6
AWS Singapore,1.35,103.8,tropical,chilled_water,28.0,82.0,180,80,0.77,company_report,AWS Sustainability Report 2023,3,1
AWS Tokyo,35.7,139.7,temperate,chilled_water,14.0,65.0,160,80,0.55,company_report,AWS Sustainability Report 2023,3,3
AWS Sydney,-33.9,151.2,temperate,evaporative,14.0,65.0,120,80,0.43,company_report,AWS Sustainability Report 2023,2,3
Meta Oregon US,45.7,-121.5,oceanic,evaporative,11.0,75.0,400,85,0.26,company_report,Meta Sustainability Report 2023,2,5
Meta Iowa US,41.6,-91.5,continental,evaporative,10.0,60.0,350,85,1.1,company_report,Meta Sustainability Report 2023,2,4
Meta Denmark,56.3,9.5,oceanic,air_side,8.0,76.0,200,85,0.07,company_report,Meta Sustainability Report 2023,1,5
Meta Sweden,65.6,22.2,subarctic,air_side,0.0,72.0,180,85,0.04,company_report,Meta Sustainability Report 2023,1,6
Meta Singapore,1.35,103.8,tropical,chilled_water,28.0,82.0,150,85,0.88,company_report,Meta Sustainability Report 2023,3,1
Equinix Singapore SG1,1.35,103.8,tropical,chilled_water,28.0,82.0,20,75,0.75,company_report,Equinix Sustainability Report 2023,3,1
Equinix Amsterdam AM3,52.4,4.9,oceanic,air_side,11.0,78.0,15,75,0.19,company_report,Equinix Sustainability Report 2023,1,5
Equinix Virginia DC2,38.9,-77.4,continental,evaporative,15.0,60.0,25,75,0.28,company_report,Equinix Sustainability Report 2023,2,4
Singapore,1.35,103.8,tropical,air_side,24.4,98.0,200,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Singapore,1.35,103.8,tropical,air_side,25.2,94.6,200,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Singapore,1.35,103.8,tropical,air_side,28.2,80.7,300,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Singapore,1.35,103.8,tropical,air_side,26.7,78.6,500,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Singapore,1.35,103.8,tropical,evaporative,28.4,77.9,10,40,0.871,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Singapore,1.35,103.8,tropical,evaporative,30.8,76.0,200,55,1.017,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Singapore,1.35,103.8,tropical,evaporative,28.0,73.5,100,85,0.895,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Singapore,1.35,103.8,tropical,evaporative,24.3,71.0,20,75,0.693,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Singapore,1.35,103.8,tropical,chilled_water,30.2,83.4,100,40,0.975,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Singapore,1.35,103.8,tropical,chilled_water,27.1,88.2,200,95,0.925,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Singapore,1.35,103.8,tropical,chilled_water,28.3,85.4,20,55,0.933,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Singapore,1.35,103.8,tropical,chilled_water,24.9,76.6,200,65,0.867,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Singapore,1.35,103.8,tropical,seawater,30.1,83.4,10,55,0.236,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Singapore,1.35,103.8,tropical,seawater,28.7,69.9,10,75,0.223,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Singapore,1.35,103.8,tropical,seawater,24.7,72.4,500,85,0.207,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Singapore,1.35,103.8,tropical,seawater,32.1,65.6,50,40,0.23,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Singapore,1.35,103.8,tropical,liquid,27.9,94.5,500,85,0.26,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Singapore,1.35,103.8,tropical,liquid,30.5,71.0,20,55,0.275,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Singapore,1.35,103.8,tropical,liquid,35.9,73.8,500,75,0.301,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Singapore,1.35,103.8,tropical,liquid,29.3,93.8,500,40,0.288,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Hong Kong,22.3,114.2,subtropical,air_side,25.5,81.3,50,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Hong Kong,22.3,114.2,subtropical,air_side,24.9,79.7,100,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Hong Kong,22.3,114.2,subtropical,air_side,23.0,65.1,20,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Hong Kong,22.3,114.2,subtropical,air_side,25.4,82.2,50,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Hong Kong,22.3,114.2,subtropical,evaporative,19.8,68.6,50,95,0.456,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Hong Kong,22.3,114.2,subtropical,evaporative,21.6,68.1,500,75,0.554,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Hong Kong,22.3,114.2,subtropical,evaporative,22.0,70.8,10,55,0.556,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Hong Kong,22.3,114.2,subtropical,evaporative,21.5,56.6,500,85,0.616,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Hong Kong,22.3,114.2,subtropical,chilled_water,22.7,71.3,20,75,0.821,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
Hong Kong,22.3,114.2,subtropical,chilled_water,19.7,71.7,300,55,0.732,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
Hong Kong,22.3,114.2,subtropical,chilled_water,26.3,62.8,300,85,0.854,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
Hong Kong,22.3,114.2,subtropical,chilled_water,26.3,70.9,500,65,0.894,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
Hong Kong,22.3,114.2,subtropical,seawater,29.8,72.6,100,95,0.214,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Hong Kong,22.3,114.2,subtropical,seawater,26.6,72.1,100,75,0.199,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Hong Kong,22.3,114.2,subtropical,seawater,21.8,69.8,50,40,0.178,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Hong Kong,22.3,114.2,subtropical,seawater,25.9,65.7,500,85,0.191,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Hong Kong,22.3,114.2,subtropical,liquid,24.0,75.0,20,40,0.25,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Hong Kong,22.3,114.2,subtropical,liquid,25.5,67.2,50,85,0.242,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Hong Kong,22.3,114.2,subtropical,liquid,25.6,74.4,50,75,0.262,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Hong Kong,22.3,114.2,subtropical,liquid,25.0,73.8,100,65,0.265,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Taipei,25.0,121.5,subtropical,air_side,24.5,62.3,20,55,0.018,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Taipei,25.0,121.5,subtropical,air_side,28.0,61.4,10,75,0.018,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Taipei,25.0,121.5,subtropical,air_side,21.1,80.8,500,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Taipei,25.0,121.5,subtropical,air_side,33.2,64.9,300,95,0.022,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,2
Taipei,25.0,121.5,subtropical,evaporative,18.2,65.2,50,40,0.398,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Taipei,25.0,121.5,subtropical,evaporative,27.5,77.0,10,75,0.832,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Taipei,25.0,121.5,subtropical,evaporative,28.4,75.2,50,55,0.877,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Taipei,25.0,121.5,subtropical,evaporative,23.3,71.0,300,65,0.645,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,2
Taipei,25.0,121.5,subtropical,chilled_water,21.2,67.2,500,95,0.769,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
Taipei,25.0,121.5,subtropical,chilled_water,18.8,77.7,20,55,0.739,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
Taipei,25.0,121.5,subtropical,chilled_water,25.9,63.4,20,40,0.835,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
Taipei,25.0,121.5,subtropical,chilled_water,21.7,74.9,20,75,0.802,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,2
